Name;Price;Ingredients;Photo URL;
Syoss Curls&Waves;14.59;Aqua (Water, Eau),Sodium Laureth Sulfate,Cocamidopropyl Betaine,PEG-7 Glyceryl Cocoate,Sodium Chloride,Hydrolyzed Soy Protein,Glycine,Lysine HCl,Panthenol,Disodium Cocoamphodiacetate,Sodium Benzoate,Citric Acid,Parfum (Fragrance),Cocamide MEA,Dimethicone,Glycol Distearate,Hydrogenated Castor Oil,Guar Hydroxypropyltrimonium Chloride,Laureth-4,Sodium Hydroxide,Benzyl Salicylate,Linalool,Laureth-23,Hexyl Cinnamal,Limonene,Benzyl Alcohol,Propylene Glycol,Salicylic Acid;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw870d39cb/images/hi-res/376882__Syoss_Curls__Waves_Szampon_do_wlosow_falowanych_i_kreconych_440_ml__BB__1__p.png?sw=600&sh=600&sm=fit;
Dermedic Capilarte;49.99;Aqua, Decyl Glucoside, Ammonium Lauryl Sulfate, Cocamidopropyl Hydroxysultaine, Cocamidopropyl Betaine, Polyquaternium-7, Laureth-9, Panthenol, Parfum, Potassium Sorbate, Sodium Benzoate, Citric Acid.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe0bae827/images/hi-res/303801_szampon_do_wlosow__p.png?sw=600&sh=600&sm=fit;
beBIO Ewa Chodakowska;24.69;Aqua, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Glycerin, Camellia Sinensis Leaf Extract, Phyllanthus Emblica Fruit Extract, Bisabolol, Fructose, Urea, Maltose, Sodium PCA, Trehalose, Allantoin, Sodium Hyaluronate, Glucose, Lactobacillus/Arundinaria Gigantea Ferment Filtrate, Leuconostoc/Radish Root Ferment Filtrate, Guar Hydroxypropyltrimonium Chloride, Pentylene Glycol, Sodium Chloride, Sodium Lactate, Maris Sal (Sea Salt), Citric Acid, Lactic Acid, Sodium Hydroxide, Sodium Benzoate, Potassium Sorbate, Parfum, Benzyl Salicylate, Hexyl Cinnamal, Limonene, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2bb28f67/images/hi-res/409882_szampon_do_wlosow_przetluszczajacych_sie_300_ml_1_6176976_p.png?sw=600&sh=600&sm=fit;
Sessio Hair Vege Cocktail;11.79;Aqua, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Mangifera Indica Fruit Extract, Carum Petroselinum Extract, Polyquaternium-10, Glycerin, Phenoxyethanol, Caprylyl Glycol,Parfum, Polysorbate 20, , Sodium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa8ede7fc/images/hi-res/364652_szampon_do_wlosow__p.png?sw=600&sh=600&sm=fit;
Yumi Malinowe Nawilżenie;14.69;Aqua, Sodium Coco-Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Aloe Barbadensis Leaf Juice, Rubus Idaeus Fruit Extract, Glycerin, Lysine, Glycine, Hydrogenated Vegetable Glycerides Citrate, Vitis Vinifera Fruit Extract, Pyrus Communis Fruit Extract, Citrus Grandis Fruit Extract, Coco-Glucoside, Glyceryl Oleate, Glucose, Urea, Allantoin, Glutamic Acid, Sodium PCA, Propylene Glycol, Tocopherol, Gluconolactone, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Lactic Acid, Disodium EDTA, Citric Acid, Sodium Chloride, Parfum, Sodium Benzoate, Potassium Sorbate.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwf43f3398/images/hi-res/407623__nawilzajacy_szampon_do_wlosow__300_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Sielanka Dziewczyna jak malina;8.49;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Hydrolyzed Keratin, Rubus Idaeus (Raspberry) Seed Oil, Triticum Vulgare Germ Extract, Ocimum Basilicum Hairy Root Culture Extract, Raphanus Sativus Extract, Allantoin, Helianthus Annuus (Sunflower) Seed Oil, Rubus Idaeus (Raspberry) Fruit Extract, BHT, Ascorbyl Pamitate, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate, Alcohol, Parfum, Cl 16035.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe77ba071/images/hi-res/411520__szampon_do_wlosow_zniszczonych__400_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Sielanka Leśna Jeżyna;8.49;Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Allantoin, Rubus Fruticosus (Blackberry) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Rubus Idaeus (Raspberry) Fruit Extract, Rubus Fruticosus (Blackberry) Fruit Extract, Fragaria Ananassa (Strawberry) Fruit Extract, BHT, Ascorbyl Palmitate, Polyquaternium-10, Glycerin, Citrus Limon Fruit Extract, Decyl Glucoside, Citric Acid, Styrene/Acrylates Copolymer, Acrylates Copolymer, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, Potassium Sorbate, Sodium Chloride, Tetrasodium EDTA, Parfum, CI 60730.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw36e89d71/images/hi-res/411673__szampon_do_wlosow_blond__400_ml__abc__1__reviewed__p.png?sw=600&sh=600&sm=fit;
Anwen Wake It Up;29.39;Aqua, Sodium Laureth Sulfate, Coco-Glucoside, Propanediol, Polysorbate 20, Gluconolactone, Acacia Senegal Gum, Xanthan Gum, Cetrimonium Chloride, Ficin, Caffeine, Lactobacillus/Pear Juice Ferment Filtrate, Bacillus Ferment, Coffea Arabica Seed Extract, Dipotassium Glycyrrhizate, Disodium EDTA, Glycerin, Butylene Glycol, Propylene Glycol, Sodium Benzoate, Calcium Gluconate, Citric Acid, Parfum.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dweaf018fa/images/hi-res/383157_enzymatyczny_szampon_kawowy_oczyszczajacy_do_wlosow_200_ml_1_3827961__p.png?sw=600&sh=600&sm=fit;
Dermz Healpsorin Shampoo;64.99;Aqua, Cocamidopropyl Betaine, Sodium Cocomphoacetate, Acrylates/Beheneth-25 Methacrylate Copolymer, Urea, Polysorbate-20, Salicylic Acid, Sodium Caproyl/Lauroyl Lactylate, Triethyl Citrate,Parfum, Citrus Aurantium Amara Flower Oil, Symphytum Officinale Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Pogostemon Cablin Oil, Cyanocobalamin, Limonene, Linalool.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw8e3ddb27/images/hi-res/447718_szampon_j.jpg?sw=600&sh=600&sm=fit;
Aromase 5a Juniper Scalp Purifying Liquid Shampoo;32.89;Aqua, Lauramidopropyl Betaine, Glycerin, Sodium Chloride, Sodium Lauroyl Sarcosinate, Alcohol Denat., Propylene Glycol, Menthol, Butylene Glycol, Oleth-12, Limonene, Disodium EDTA, Juniperus Communis Fruit Oil, Mentha Piperita Oil, Melaleuca Alternifolia Leaf Oil, Rosmarinus Officinalis Leaf Oil, Eucalyptus Globulus Leaf Oil, Laurus Nobilis Leaf Oil, Citrus Aurantium Bergamia Fruit Oil, Citric Acid, Panthenol, Butyl Avocadate, Polyquaternium-10, Linalool, Alcohol, Glycolic Acid, Citrus Grandis Seed Extract, Sodium Usnate, Glycyrrhetinic Acid, Piroctone Olamine, Aloe Barbadensis Leaf Juice Powder, Niacinamide, Phenoxyethanol, Polygonum Multiflorum Root Extract, Thymus Vulgaris Leaf Extract, Triethanolamine, Serenoa Serrulata Fruit Extract, Zingiber Officinale Root Extract, Sodium Acetate, Isopropyl Alcohol, Tocopherol.;https://www.hebe.pl/dw/image/v2/BDDS_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw2a08c1f2/images/hi-res/535731_szampon_do_wlosow_przeciw_lupiezowi_80_ml_3_5732701_j.jpg?sw=600&sh=600&sm=fit;
